ecs
plasma_membrane
mito_cropped
mito_membrane
mito_skeleton_pruned_cropped
mito_skeleton_pruned_longestShortestPath_cropped
vesicle
vesicle_membrane
MVB
MVB_membrane
er
er_membrane
ERES
nucleus_cropped
nucleolus
golgi
golgi_membrane
lysosome
lysosome_membrane
LD
LD_membrane
NE
NE_membrane
nuclear_pore
chromatin
NHChrom
centrosome
distal_app
ribosomes
er_reconstructed_maskedWith_ribosomes_to_ribosomes_cc
er_maskedWith_golgi_to_golgi_cc
er_reconstructed_to_mito_maskedWith_er_reconstructed_cc
er_to_MVB_cc
er_maskedWith_plasma_membrane_to_plasma_membrane_cc
er_to_vesicle_cc
er_medialSurface
golgi_to_vesicle_cc
golgi_to_MVB_cc
plasma_membrane_to_mito_cc
er_maskedWith_microtubules_to_microtubules_cc
MVB_maskedWith_microtubules_to_microtubules_cc
golgi_maskedWith_microtubules_to_microtubules_cc
mito_maskedWith_microtubules_to_microtubules_cc_cropped
nucleus_maskedWith_microtubules_to_microtubules_cc
vesicle_maskedWith_microtubules_to_microtubules_cc
plasma_membrane_maskedWith_microtubules_to_microtubules_cc
microtubules

